_id,月份,M2数量(亿元),M2同比增长,M2环比增长,M1数量(亿元),M1同比增长,M1环比增长,M0数量(亿元),M0同比增长,M0环比增长,year,month,day,hour,minute,second
5ff1ef5cdcd2ff441ffe48eb,2020-11-01,2172000,10.7,1.03735405,618600,10,1.54300722,81600,10.3,0.74074074,2020,11,1,0,0,0
5ff1ef5cdcd2ff441ffe48ec,2020-10-01,2149700,10.5,-0.66540363,609200,9.1,1.1456085,81000,10.4,-1.69902913,2020,10,1,0,0,0
5ff1ef5cdcd2ff441ffe48ed,2020-09-01,2164100,10.9,1.27761138,602300,8.1,0.16630634,82400,11.1,3,2020,9,1,0,0,0
5ff1ef5cdcd2ff441ffe48ee,2020-08-01,2136800,10.4,0.53360431,601300,8,1.70965648,80000,9.4,0.16626552,2020,8,1,0,0,0
5ff1ef5cdcd2ff441ffe48ef,2020-07-01,2125458.462,10.7,-0.4445165,591192.6368,6.9,-2.17192478,79867.20837,9.9,0.51322017,2020,7,1,0,0,0
5ff1ef5cdcd2ff441ffe48f0,2020-06-01,2134948.661,11.1,1.65532755,604317.9685,6.5,3.99354149,79459.40667,9.5,-0.31041635,2020,6,1,0,0,0
5ff1ef5cdcd2ff441ffe48f1,2020-05-01,2100183.741,11.1,0.31764053,581111.0573,6.8,1.92240098,79706.8297,9.5,-2.18246366,2020,5,1,0,0,0
5ff1ef5cdcd2ff441ffe48f2,2020-04-01,2093533.829,11.1,0.60600106,570150.4789,5.5,-0.8520659,81485.2149,10.2,-1.85130012,2020,4,1,0,0,0
5ff1ef5cdcd2ff441ffe48f3,2020-03-01,2080923.411,10.1,2.46662579,575050.2863,5,4.04369961,83022.20508,10.8,-5.85669711,2020,3,1,0,0,0
5ff1ef5cdcd2ff441ffe48f4,2020-02-01,2030830.424,8.8,0.38377083,552700.7291,4.8,1.31412003,88187.05371,10.9,-5.42858426,2020,2,1,0,0,0
5ff1ef5cdcd2ff441ffe48f5,2020-01-01,2023066.485,8.4,1.84132247,545531.7866,0,-5.29112487,93249.1631,6.6,20.80554912,2020,1,1,0,0,0
5ff1ef5cdcd2ff441ffe48f6,2019-12-01,1986488.82,8.7,1.27760183,576009.15,4.4,2.40408072,77189.47,5.4,4.34701087,2019,12,1,0,0,0
5ff1ef5cdcd2ff441ffe48f7,2019-11-01,1961429.56,8.2,0.81357964,562486.52,3.5,0.77804305,73973.82,4.8,0.78808754,2019,11,1,0,0,0
5ff1ef5cdcd2ff441ffe48f8,2019-10-01,1945600.55,8.4,-0.34062944,558143.92,3.3,0.18056031,73395.4,4.7,-0.99062792,2019,10,1,0,0,0
5ff1ef5cdcd2ff441ffe48f9,2019-09-01,1952250.49,8.4,0.86582927,557137.95,3.4,0.06103828,74129.75,4,1.33574163,2019,9,1,0,0,0
5ff1ef5cdcd2ff441ffe48fa,2019-08-01,1935492.43,8.2,0.83784096,556798.09,3.4,0.67896696,73152.62,4.8,0.63746703,2019,8,1,0,0,0
5ff1ef5cdcd2ff441ffe48fb,2019-07-01,1919410.82,8.1,-0.10145781,553043.11,3.1,-2.58114649,72689.25,4.5,0.14919891,2019,7,1,0,0,0
5ff1ef5cdcd2ff441ffe48fc,2019-06-01,1921360.19,8.5,1.59725198,567696.18,4.4,4.28773733,72580.96,4.3,-0.29877006,2019,6,1,0,0,0
5ff1ef5cdcd2ff441ffe48fd,2019-05-01,1891153.7,8.5,0.34400552,544355.64,3.4,0.69199759,72798.46,4.3,-1.57816265,2019,5,1,0,0,0
5ff1ef5cdcd2ff441ffe48fe,2019-04-01,1884670.33,8.5,-0.25096748,540614.6,2.9,-1.27122917,73965.76,3.5,-1.30210759,2019,4,1,0,0,0
5ff1ef5cdcd2ff441ffe48ff,2019-03-01,1889412.14,8.6,1.17727144,547575.54,4.6,3.86673523,74941.58,3.1,-5.71574008,2019,3,1,0,0,0
5ff1ef5cdcd2ff441ffe4900,2019-02-01,1867427.45,8,0.07996633,527190.48,1.6,-3.38098968,79484.72,-2.4,-9.12980839,2019,2,1,0,0,0
5ff1ef5cdcd2ff441ffe4901,2019-01-01,1865935.33,8.4,2.14540788,545638.46,0.4,-1.09617583,87470.62,17.2,19.48166599,2019,1,1,0,0,0
5ff1ef5cdcd2ff441ffe4902,2018-12-01,1826744.21571345,8.1,0.74836405,551685.90754868,1.5,1.50639683,73208.40337957,3.6,3.74854769,2018,12,1,0,0,0
5ff1ef5cdcd2ff441ffe4903,2018-11-01,1813175.06539151,8,0.9809449,543498.66093155,1.5,0.62398046,70563.30426885,2.8,0.65141265,2018,11,1,0,0,0
5ff1ef5cdcd2ff441ffe4904,2018-10-01,1795561.59556379,8,-0.33879683,540128.36546464,2.7,0.28859224,70106.62087234,2.8,-1.61062677,2018,10,1,0,0,0
5ff1ef5cdcd2ff441ffe4905,2018-09-01,1801665.58145761,8.3,0.72652578,538574.08246877,4,0.046336,71254.26107543,2.2,2.11946931,2018,9,1,0,0,0
5ff1ef5cdcd2ff441ffe4906,2018-08-01,1788670.42970175,8.2,0.70230559,538324.64434997,3.9,0.31686051,69775.39303606,3.3,0.35207995,2018,8,1,0,0,0
5ff1ef5cdcd2ff441ffe4907,2018-07-01,1776196.10516409,8.5,0.33995061,536624.29388092,5.1,-1.34580193,69530.58976978,3.6,-0.08441476,2018,7,1,0,0,0
5ff1ef5cdcd2ff441ffe4908,2018-06-01,1770178.373,8,1.55557019,543944.71230776,6.6,3.35716862,69589.3334355,3.9,-0.26581881,2018,6,1,0,0,0
5ff1ef5cdcd2ff441ffe4909,2018-05-01,1743063.7923233,8.3,0.30961117,526276.71554375,6,0.15775977,69774.80799697,3.6,-2.38071148,2018,5,1,0,0,0
5ff1ef5cdcd2ff441ffe490a,2018-04-01,1737683.72947489,8.3,-0.1250531,525447.77033558,7.2,0.36438391,71476.45619813,4.5,-1.67303411,2018,4,1,0,0,0
5ff1ef5cdcd2ff441ffe490b,2018-03-01,1739859.47770953,8.2,0.62399781,523540.0745583,7.1,1.25795531,72692.6286707,6,-10.72360562,2018,3,1,0,0,0
5ff1ef5cdcd2ff441ffe490c,2018-02-01,1729070.11807809,8.8,0.47975283,517035.99284148,8.5,-4.82490042,81424.24340892,13.5,9.09470891,2018,2,1,0,0,0
5ff1ef5cdcd2ff441ffe490d,2018-01-01,1720814.46207142,8.6,1.8091651,543247.12570164,15,-0.09985828,74636.29008648,-13.8,5.64888809,2018,1,1,0,0,0
5ff1ef5cdcd2ff441ffe490e,2017-12-01,1690235.31468079,8.06537771,0.65977636,543790.14519118,11.8,1.53577902,70645.59924243,3.4,2.94717122,2017,12,1,0,0,0
5ff1ef5cdcd2ff441ffe490f,2017-11-01,1679156.63613009,9.11476976,1.00494309,535565.04954123,12.7,1.82286595,68623.15730039,5.7,0.57520929,2017,11,1,0,0,0
5ff1ef5cdcd2ff441ffe4910,2017-10-01,1662449.96019881,8.87714276,-0.07309725,525977.19041969,13,1.56685311,68230.68804671,6.3,-2.17617772,2017,10,1,0,0,0
5ff1ef5cdcd2ff441ffe4911,2017-09-01,1663666.05438742,8.97596676,0.64846315,517863.03732941,14,-0.04842419,69748.54023602,7.2,3.25317331,2017,9,1,0,0,0
5ff1ef5cdcd2ff441ffe4912,2017-08-01,1652947.30031106,8.56334703,1.014837,518113.92979868,14,1.4945314,67550.9894732,6.5,0.62856263,2017,8,1,0,0,0
5ff1ef5cdcd2ff441ffe4913,2017-07-01,1636341.10524859,8.88997756,-0.19249439,510484.57751922,15.3,0.05025429,67129.04140261,6.1,0.2259854,2017,7,1,0,0,0
5ff1ef5cdcd2ff441ffe4914,2017-06-01,1639497.04513491,9.10134442,1.84851324,510228.16597674,15,2.78780593,66977.68162005,6.6,-0.52800919,2017,6,1,0,0,0
