,date,0
0,2017-01-18,0.25
1,2017-01-19,0.25
2,2017-01-20,0.25
3,2017-01-23,0.25
4,2017-01-24,0.25
5,2017-01-25,0.25
6,2017-01-26,0.25
7,2017-02-03,0.25
8,2017-02-06,0.25
9,2017-02-07,0.25
10,2017-02-08,0.25
11,2017-02-09,0.25
12,2017-02-10,0.25
13,2017-02-13,0.25
14,2017-02-14,0.25
15,2017-02-15,0.25
16,2017-02-16,0.25
17,2017-02-17,0.25
18,2017-02-20,0.25
19,2017-02-21,0.25
20,2017-02-22,0.25
21,2017-02-23,0.25
22,2017-02-24,0.25
23,2017-02-27,0.25
24,2017-02-28,0.25
25,2017-03-01,0.25
26,2017-03-02,0.25
27,2017-03-03,0.25
28,2017-03-06,0.25
29,2017-03-07,0.25
30,2017-03-08,0.25
31,2017-03-09,0.25
32,2017-03-10,0.25
33,2017-03-13,0.25
34,2017-03-14,0.25
35,2017-03-15,0.25
36,2017-03-16,0.25
37,2017-03-17,0.25
38,2017-03-20,0.25
39,2017-03-21,0.25
40,2017-03-22,0.25
41,2017-03-23,0.25
42,2017-03-24,0.25
43,2017-03-27,0.25
44,2017-03-28,0.25
45,2017-03-29,0.25
46,2017-03-30,0.25
47,2017-03-31,0.25
48,2017-04-05,0.25
49,2017-04-06,0.25
50,2017-04-07,0.25
51,2017-04-10,0.25
52,2017-04-11,0.25
53,2017-04-12,0.25
54,2017-04-13,0.25
55,2017-04-14,0.25
56,2017-04-17,0.25
57,2017-04-18,0.25
58,2017-04-19,0.25
59,2017-04-20,0.25
60,2017-04-21,0.25
61,2017-04-24,0.25
62,2017-04-25,0.25
63,2017-04-26,0.25
64,2017-04-27,0.25
65,2017-04-28,0.25
66,2017-05-02,0.25
67,2017-05-03,0.25
68,2017-05-04,0.25
69,2017-05-05,0.25
70,2017-05-08,0.25
71,2017-05-09,0.25
72,2017-05-10,0.25
73,2017-05-11,0.25
74,2017-05-12,0.25
75,2017-05-15,0.25
76,2017-05-16,0.25
77,2017-05-17,0.25
78,2017-05-18,0.25
79,2017-05-19,0.25
80,2017-05-22,0.25
81,2017-05-23,0.25
82,2017-05-24,0.25
83,2017-05-25,0.25
84,2017-05-26,0.25
85,2017-05-31,0.25
86,2017-06-01,0.25
87,2017-06-02,0.25
88,2017-06-05,0.25
89,2017-06-06,0.25
90,2017-06-07,0.25
91,2017-06-08,0.25
92,2017-06-09,0.25
93,2017-06-12,0.25
94,2017-06-13,0.25
95,2017-06-14,0.25
96,2017-06-15,0.25
97,2017-06-16,0.25
98,2017-06-19,0.25
99,2017-06-20,0.25
100,2017-06-21,0.25
101,2017-06-22,0.25
102,2017-06-23,0.25
103,2017-06-26,0.25
104,2017-06-27,0.25
105,2017-06-28,0.25
106,2017-06-29,0.25
107,2017-06-30,0.25
108,2017-07-03,0.25
109,2017-07-04,0.25
110,2017-07-05,0.25
111,2017-07-06,0.25
112,2017-07-07,0.25
113,2017-07-10,0.25
114,2017-07-11,0.25
115,2017-07-12,0.25
116,2017-07-13,0.25
117,2017-07-14,0.25
118,2017-07-17,0.25
119,2017-07-18,0.25
120,2017-07-19,0.25
121,2017-07-20,0.25
122,2017-07-21,0.25
123,2017-07-24,0.25
124,2017-07-25,0.25
125,2017-07-26,0.25
126,2017-07-27,0.25
127,2017-07-28,0.25
128,2017-07-31,0.25
129,2017-08-01,0.25
130,2017-08-02,0.25
131,2017-08-03,0.25
132,2017-08-04,0.25
133,2017-08-07,0.25
134,2017-08-08,0.25
135,2017-08-09,0.25
136,2017-08-10,0.25
137,2017-08-11,0.25
138,2017-08-14,0.25
139,2017-08-15,0.25
140,2017-08-16,0.25
141,2017-08-17,0.25
142,2017-08-18,0.25
143,2017-08-21,0.25
144,2017-08-22,0.25
145,2017-08-23,0.25
146,2017-08-24,0.25
147,2017-08-25,0.25
148,2017-08-28,0.25
149,2017-08-29,0.25
150,2017-08-30,0.25
151,2017-08-31,0.25
152,2017-09-01,0.25
153,2017-09-04,0.25
154,2017-09-05,0.25
155,2017-09-06,0.25
156,2017-09-07,0.25
157,2017-09-08,0.25
158,2017-09-11,0.25
159,2017-09-12,0.25
160,2017-09-13,0.25
161,2017-09-14,0.25
162,2017-09-15,0.25
163,2017-09-18,0.25
164,2017-09-19,0.25
165,2017-09-20,0.25
166,2017-09-21,0.25
167,2017-09-22,0.25
168,2017-09-25,0.25
169,2017-09-26,0.25
170,2017-09-27,0.25
171,2017-09-28,0.25
172,2017-09-29,0.25
173,2017-10-09,0.25
174,2017-10-10,0.25
175,2017-10-11,0.25
176,2017-10-12,0.25
177,2017-10-13,0.25
178,2017-10-16,0.25
179,2017-10-17,0.25
180,2017-10-18,0.25
181,2017-10-19,0.25
182,2017-10-20,0.25
183,2017-10-23,0.25
184,2017-10-24,0.25
185,2017-10-25,0.25
186,2017-10-26,0.25
187,2017-10-27,0.25
188,2017-10-30,0.25
189,2017-10-31,0.25
190,2017-11-01,0.25
191,2017-11-02,0.25
192,2017-11-03,0.25
193,2017-11-06,0.25
194,2017-11-07,0.25
195,2017-11-08,0.25
196,2017-11-09,0.25
197,2017-11-10,0.25
198,2017-11-13,0.25
199,2017-11-14,0.25
200,2017-11-15,0.25
201,2017-11-16,0.25
202,2017-11-17,0.25
203,2017-11-20,0.25
204,2017-11-21,0.25
205,2017-11-22,0.25
206,2017-11-23,0.25
207,2017-11-24,0.25
208,2017-11-27,0.25
209,2017-11-28,0.25
210,2017-11-29,0.25
211,2017-11-30,0.25
212,2017-12-01,0.25
213,2017-12-04,0.25
214,2017-12-05,0.25
215,2017-12-06,0.25
216,2017-12-07,-0.25
217,2017-12-08,0.25
218,2017-12-11,0.25
219,2017-12-12,0.25
220,2017-12-13,0.25
221,2017-12-14,0.25
222,2017-12-15,0.25
223,2017-12-18,0.25
224,2017-12-19,0.25
225,2017-12-20,0.25
226,2017-12-21,0.25
227,2017-12-22,0.25
228,2017-12-25,0.25
229,2017-12-26,0.25
230,2017-12-27,0.25
231,2017-12-28,0.25
232,2017-12-29,0.25
233,2018-01-02,0.25
234,2018-01-03,0.25
235,2018-01-04,0.25
236,2018-01-05,0.25
237,2018-01-08,0.25
238,2018-01-09,0.25
239,2018-01-10,0.25
240,2018-01-11,0.25
241,2018-01-12,0.25
242,2018-01-15,0.25
243,2018-01-16,0.25
244,2018-01-17,0.25
245,2018-01-18,0.25
246,2018-01-19,0.25
247,2018-01-22,0.25
248,2018-01-23,0.25
249,2018-01-24,0.25
250,2018-01-25,0.25
251,2018-01-26,0.25
252,2018-01-29,0.25
253,2018-01-30,0.25
254,2018-01-31,0.25
255,2018-02-01,0.25
256,2018-02-02,0.25
257,2018-02-05,0.25
258,2018-02-06,0.25
259,2018-02-07,0.25
260,2018-02-08,0.25
261,2018-02-09,0.25
262,2018-02-12,0.25
263,2018-02-13,0.25
264,2018-02-14,0.25
265,2018-02-22,0.25
266,2018-02-23,0.25
267,2018-02-26,0.25
268,2018-02-27,0.25
269,2018-02-28,0.25
270,2018-03-01,0.25
