_id,date,on,1w,2w,1m,3m,6m,9m,1y,year,month,day,hour,minute,second
5ff1c97d9beb32eceae06cf4,2010-12-31,4.5217,6.3867,6.5125,6.169,4.6234,3.5614,3.5944,3.6312,2010,12,31,0,0,0
5ff1c97d9beb32eceae06cf5,2010-12-30,5.0996,6.2853,6.4358,6.2217,4.6216,3.5447,3.58,3.6169,2010,12,30,0,0,0
5ff1c97d9beb32eceae06cf6,2010-12-29,4.7588,6.0563,6.0067,6.21,4.6236,3.5152,3.5526,3.595,2010,12,29,0,0,0
5ff1c97d9beb32eceae06cf7,2010-12-28,4.5954,5.7621,6.6429,6.1827,4.6021,3.5034,3.5378,3.5767,2010,12,28,0,0,0
5ff1c97d9beb32eceae06cf8,2010-12-27,4.5079,5.2983,5.81,6.0678,4.5641,3.4592,3.4827,3.5246,2010,12,27,0,0,0
5ff1c97d9beb32eceae06cf9,2010-12-24,4.2583,4.9308,5.6075,5.743,4.3264,3.3607,3.3773,3.395,2010,12,24,0,0,0
5ff1c97d9beb32eceae06cfa,2010-12-23,3.255,5.6617,5.1533,5.1767,4.179,3.3234,3.3427,3.3617,2010,12,23,0,0,0
5ff1c97d9beb32eceae06cfb,2010-12-22,2.5533,4.1583,4.5575,4.7952,4.113,3.2715,3.295,3.3239,2010,12,22,0,0,0
5ff1c97d9beb32eceae06cfc,2010-12-21,2.3521,4.08,4.3407,4.491,3.9496,3.2405,3.2728,3.2955,2010,12,21,0,0,0
5ff1c97d9beb32eceae06cfd,2010-12-20,2.1035,3.5025,3.9469,4.3297,3.9181,3.203,3.2311,3.2574,2010,12,20,0,0,0
5ff1c97d9beb32eceae06cfe,2010-12-17,1.9954,3.7008,3.8842,4.3035,3.8842,3.1747,3.2043,3.223,2010,12,17,0,0,0
5ff1c97d9beb32eceae06cff,2010-12-16,2.0008,3.3358,3.6308,4.1983,3.8548,3.1664,3.1958,3.215,2010,12,16,0,0,0
5ff1c97d9beb32eceae06d00,2010-12-15,2.0158,3.6158,3.5975,4.0975,3.8158,3.1572,3.1871,3.2062,2010,12,15,0,0,0
5ff1c97d9beb32eceae06d01,2010-12-14,1.9985,3.2958,3.4183,3.9592,3.7205,3.1428,3.1693,3.1905,2010,12,14,0,0,0
5ff1c97d9beb32eceae06d02,2010-12-13,2.0067,2.5527,3.2608,3.8129,3.666,3.1325,3.1597,3.1815,2010,12,13,0,0,0
5ff1c97d9beb32eceae06d03,2010-12-10,2.0108,2.4933,3.2733,3.845,3.632,3.1233,3.1523,3.1743,2010,12,10,0,0,0
5ff1c97d9beb32eceae06d04,2010-12-09,2.0092,2.4889,3.3352,3.7525,3.5292,3.1141,3.1407,3.1646,2010,12,9,0,0,0
5ff1c97d9beb32eceae06d05,2010-12-08,2.0979,2.5029,3.2953,3.7625,3.42,3.1072,3.1304,3.1568,2010,12,8,0,0,0
5ff1c97d9beb32eceae06d06,2010-12-07,1.9858,2.2078,3.3467,3.5938,3.394,3.099,3.1212,3.151,2010,12,7,0,0,0
5ff1c97d9beb32eceae06d07,2010-12-06,1.88,3.0871,3.3753,3.7655,3.374,3.0919,3.1139,3.1449,2010,12,6,0,0,0
5ff1c97d9beb32eceae06d08,2010-12-03,1.9982,3.3325,3.6992,3.8163,3.3453,3.0864,3.1062,3.1381,2010,12,3,0,0,0
5ff1c97d9beb32eceae06d09,2010-12-02,2.2372,3.3471,3.7333,3.815,3.3274,3.0792,3.0949,3.1237,2010,12,2,0,0,0
5ff1c97d9beb32eceae06d0a,2010-12-01,2.23,3.3458,3.7148,3.895,3.2865,3.0644,3.0827,3.1103,2010,12,1,0,0,0
5ff1c97d9beb32eceae06d0b,2010-11-30,2.13,3.3263,3.72,3.71,3.2498,3.0497,3.069,3.0967,2010,11,30,0,0,0
5ff1c97d9beb32eceae06d0c,2010-11-29,1.9217,2.6717,3.51,3.5963,3.1925,3.03,3.0494,3.0786,2010,11,29,0,0,0
5ff1c97d9beb32eceae06d0d,2010-11-26,1.8925,2.7117,3.0617,3.5017,3.1367,3.0129,3.0309,3.0618,2010,11,26,0,0,0
5ff1c97d9beb32eceae06d0e,2010-11-25,1.8913,2.4792,2.985,3.4383,3.0707,2.99,3.0082,3.0367,2010,11,25,0,0,0
5ff1c97d9beb32eceae06d0f,2010-11-24,1.9055,2.3263,2.6054,3.2658,3.0127,2.9711,2.995,3.0241,2010,11,24,0,0,0
5ff1c97d9beb32eceae06d10,2010-11-23,1.9815,2.2193,2.3808,3.0189,2.9688,2.9552,2.978,3.0103,2010,11,23,0,0,0
5ff1c97d9beb32eceae06d11,2010-11-22,1.96,2.1492,2.2233,2.8772,2.9174,2.9365,2.9619,2.9916,2010,11,22,0,0,0
5ff1c97d9beb32eceae06d12,2010-11-19,1.8188,2.07,2.2025,2.678,2.8996,2.9196,2.9466,2.9798,2010,11,19,0,0,0
5ff1c97d9beb32eceae06d13,2010-11-18,1.8029,1.9946,2.2,2.6455,2.8956,2.9145,2.9418,2.9765,2010,11,18,0,0,0
