,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2014-01-01,2020-12-31,2020-06-01,20,100,6,19,128,2,6,0.001,0.0,0.512969434261322,0.7946043610572815,0.185161292552948,1.0,0.25
1,2014-01-01,2019-12-31,2019-06-01,20,100,6,19,128,2,6,0.001,0.0,0.5041097402572632,0.7983371615409851,0.1746399849653244,1.0,0.29600000381469727
2,2014-01-01,2020-12-31,2020-06-01,20,100,6,19,128,2,6,0.001,0.01,0.5110264420509338,0.7978145480155945,0.21798387169837952,1.0,0.25806450843811035
3,2014-01-01,2019-12-31,2019-06-01,20,100,6,19,128,2,6,0.001,0.01,0.514275848865509,0.7945034503936768,0.17351999878883362,1.0,0.2639999985694885
4,2014-01-01,2020-12-31,2020-06-01,20,100,6,19,128,2,6,0.01,0.0,0.8625275492668152,0.6645460724830627,0.16040320694446564,0.9494163393974304,0.25
5,2014-01-01,2019-12-31,2019-06-01,20,100,6,19,128,2,6,0.01,0.0,0.7215165495872498,0.7150653600692749,0.19951999187469482,0.9645881652832031,0.2720000147819519
6,2014-01-01,2020-12-31,2020-06-01,20,100,6,19,128,2,6,0.01,0.01,0.765999436378479,0.6938002705574036,0.18838706612586975,0.9228274822235107,0.27419355511665344
7,2014-01-01,2019-12-31,2019-06-01,20,100,6,19,128,2,6,0.01,0.01,0.7240440845489502,0.7087606191635132,0.20927999913692474,0.9160892963409424,0.2879999876022339
8,2014-01-01,2020-12-31,2020-06-01,20,100,6,50,128,2,6,0.001,0.0,0.3910265266895294,0.8438611626625061,0.1737096607685089,1.0,0.24193547666072845
0,2014-01-01,2020-12-31,2020-06-01,20,100,6,50,128,2,6,0.001,0.0,0.39342787861824036,0.8432835936546326,0.18798387050628662,1.0,0.25
1,2014-01-01,2019-12-31,2019-06-01,20,100,6,50,128,2,6,0.001,0.0,0.33555907011032104,0.8635951280593872,0.15209677815437317,1.0,0.22580644488334656
2,2014-01-01,2020-12-31,2020-06-01,20,100,6,50,128,2,6,0.001,0.01,0.38861289620399475,0.8451914191246033,0.1946774125099182,1.0,0.25
3,2014-01-01,2019-12-31,2019-06-01,20,100,6,50,128,2,6,0.001,0.01,0.34111395478248596,0.8624942302703857,0.15395160019397736,1.0,0.20967741310596466
4,2014-01-01,2020-12-31,2020-06-01,20,100,6,50,128,2,6,0.01,0.0,0.5751155018806458,0.774217963218689,0.19161291420459747,1.0,0.2822580635547638
5,2014-01-01,2019-12-31,2019-06-01,20,100,6,50,128,2,6,0.01,0.0,0.434364378452301,0.828845202922821,0.16846774518489838,1.0,0.25
6,2014-01-01,2020-12-31,2020-06-01,20,100,6,50,128,2,6,0.01,0.01,0.5959280729293823,0.7674952149391174,0.192016139626503,1.0,0.2661290466785431
7,2014-01-01,2019-12-31,2019-06-01,20,100,6,50,128,2,6,0.01,0.01,0.40154585242271423,0.8388683795928955,0.16516128182411194,1.0,0.2983871102333069
8,2014-01-01,2020-12-31,2020-06-01,20,100,6,61,128,2,6,0.001,0.0,0.34624454379081726,0.8596101999282837,0.18775001168251038,1.0,0.25833332538604736
9,2014-01-01,2019-12-31,2019-06-01,20,100,6,61,128,2,6,0.001,0.0,0.3338918685913086,0.8644149303436279,0.18619835376739502,1.0,0.28925618529319763
10,2014-01-01,2020-12-31,2020-06-01,20,100,6,61,128,2,6,0.001,0.01,0.3701057434082031,0.8537178039550781,0.20241667330265045,1.0,0.25
11,2014-01-01,2019-12-31,2019-06-01,20,100,6,61,128,2,6,0.001,0.01,0.3380991816520691,0.8635870218276978,0.21586774289608002,1.0,0.2975206673145294
12,2014-01-01,2020-12-31,2020-06-01,20,100,6,61,128,2,6,0.01,0.0,0.4188399910926819,0.8340062499046326,0.1768333464860916,1.0,0.2750000059604645
13,2014-01-01,2019-12-31,2019-06-01,20,100,6,61,128,2,6,0.01,0.0,0.3401828706264496,0.8649095892906189,0.17173555493354797,1.0,0.22314049303531647
14,2014-01-01,2020-12-31,2020-06-01,20,100,6,61,128,2,6,0.01,0.01,0.4796850383281708,0.8098908066749573,0.15333333611488342,1.0,0.2750000059604645
15,2014-01-01,2019-12-31,2019-06-01,20,100,6,61,128,2,6,0.01,0.01,0.37008360028266907,0.8535775542259216,0.1364462822675705,1.0,0.3140496015548706
