,start,end,split_date,batch_size,epochs,num_labels,input_dim,hidden_dim,num_layers,output_dim,lr,weight_decay,train_loss_mean,train_accu_mean,test_accu_mean,best_train_accu,best_test_accu
0,2014-01-01,2020-12-31,2020-06-01,20,50,2,50,128,2,2,0.001,0.0,0.3102298974990845,0.8290720582008362,0.5203226208686829,1.0,0.5967742204666138
1,2014-01-01,2019-12-31,2019-06-01,20,50,2,50,128,2,2,0.001,0.0,0.26065585017204285,0.8563048839569092,0.49612903594970703,1.0,0.5725806355476379
2,2014-01-01,2020-12-31,2020-06-01,20,50,2,50,128,2,2,0.001,0.01,0.32663679122924805,0.8229072690010071,0.5133870840072632,1.0,0.5887096524238586
3,2014-01-01,2019-12-31,2019-06-01,20,50,2,50,128,2,2,0.001,0.01,0.26886141300201416,0.851747453212738,0.48306453227996826,1.0,0.5967742204666138
4,2014-01-01,2020-12-31,2020-06-01,20,50,2,50,128,2,2,0.01,0.0,0.49810606241226196,0.7113044261932373,0.5153225660324097,0.9065541625022888,0.5887096524238586
5,2014-01-01,2019-12-31,2019-06-01,20,50,2,50,128,2,2,0.01,0.0,0.4493790864944458,0.745789110660553,0.5216128826141357,0.948421835899353,0.5887096524238586
6,2014-01-01,2020-12-31,2020-06-01,20,50,2,50,128,2,2,0.01,0.01,0.5382456183433533,0.6802725195884705,0.5061290264129639,0.8896819949150085,0.5645161271095276
7,2014-01-01,2019-12-31,2019-06-01,20,50,2,50,128,2,2,0.01,0.01,0.4839148223400116,0.7205235362052917,0.49193549156188965,0.9299461245536804,0.5887096524238586
0,2014-01-01,2020-12-31,2020-06-01,20,100,2,50,128,2,2,0.001,0.0,0.1552129089832306,0.9145359992980957,0.5199999809265137,1.0,0.5967742204666138
1,2014-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.001,0.0,0.13352347910404205,0.9266512393951416,0.45483875274658203,1.0,0.5322580933570862
2,2014-01-01,2020-12-31,2020-06-01,20,100,2,50,128,2,2,0.001,0.01,0.16741807758808136,0.9072744846343994,0.5397580862045288,1.0,0.6048387289047241
3,2014-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.001,0.01,0.1329120546579361,0.9251039624214172,0.5054031610488892,1.0,0.5967742204666138
4,2014-01-01,2020-12-31,2020-06-01,20,100,2,50,128,2,2,0.01,0.0,0.32765525579452515,0.8223555684089661,0.5004838705062866,0.9772874712944031,0.5887096524238586
5,2014-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.01,0.0,0.2693594694137573,0.8543880581855774,0.5239515900611877,0.9976905584335327,0.6129032373428345
6,2014-01-01,2020-12-31,2020-06-01,20,100,2,50,128,2,2,0.01,0.01,0.3581104874610901,0.8057429790496826,0.49064522981643677,0.9597663879394531,0.5887096524238586
7,2014-01-01,2019-12-31,2019-06-01,20,100,2,50,128,2,2,0.01,0.01,0.28641170263290405,0.8496766686439514,0.5112096667289734,0.988452672958374,0.6290322542190552
8,2014-01-01,2020-12-31,2020-06-01,20,100,2,61,128,2,2,0.001,0.0,0.13227465748786926,0.9261496663093567,0.5230833292007446,1.0,0.6000000238418579
9,2014-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.001,0.0,0.12754756212234497,0.9301902651786804,0.4246281087398529,1.0,0.6033057570457458
10,2014-01-01,2020-12-31,2020-06-01,20,100,2,61,128,2,2,0.001,0.01,0.1375732421875,0.9247232675552368,0.5154166221618652,1.0,0.6083333492279053
11,2014-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.001,0.01,0.12108363956212997,0.9326736330986023,0.47123968601226807,1.0,0.5950413346290588
12,2014-01-01,2020-12-31,2020-06-01,20,100,2,61,128,2,2,0.01,0.0,0.3488180935382843,0.8041776418685913,0.5099166631698608,0.980514407157898,0.5916666388511658
13,2014-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.01,0.0,0.2345173954963684,0.8797335624694824,0.49115702509880066,0.9914367198944092,0.5619834661483765
14,2014-01-01,2020-12-31,2020-06-01,20,100,2,61,128,2,2,0.01,0.01,0.33759230375289917,0.8161964416503906,0.5386666655540466,0.9703819155693054,0.6666666865348816
15,2014-01-01,2019-12-31,2019-06-01,20,100,2,61,128,2,2,0.01,0.01,0.28867393732070923,0.8444148302078247,0.5025620460510254,0.9942911267280579,0.6115702390670776
