,C,kernel,gamma,degree,accuracy,name
0,1,rbf,scale,,0.5142857142857142,"Bert(11,13)"
1,1,rbf,auto,,0.5071428571428571,"Bert(11,13)"
2,1,rbf,0.001,,0.55,"Bert(11,13)"
3,1,rbf,0.005,,0.5142857142857142,"Bert(11,13)"
4,1,rbf,0.01,,0.5071428571428571,"Bert(11,13)"
5,1,rbf,0.05,,0.5142857142857142,"Bert(11,13)"
6,1,rbf,0.1,,0.5571428571428572,"Bert(11,13)"
7,1,rbf,1,,0.5214285714285715,"Bert(11,13)"
8,1,rbf,10,,0.5214285714285715,"Bert(11,13)"
9,1,rbf,100,,0.5214285714285715,"Bert(11,13)"
10,2,rbf,scale,,0.4857142857142857,"Bert(11,13)"
11,2,rbf,auto,,0.5071428571428571,"Bert(11,13)"
12,2,rbf,0.001,,0.5142857142857142,"Bert(11,13)"
13,2,rbf,0.005,,0.4857142857142857,"Bert(11,13)"
14,2,rbf,0.01,,0.5142857142857142,"Bert(11,13)"
15,2,rbf,0.05,,0.5,"Bert(11,13)"
16,2,rbf,0.1,,0.5285714285714286,"Bert(11,13)"
17,2,rbf,1,,0.5214285714285715,"Bert(11,13)"
18,2,rbf,10,,0.5214285714285715,"Bert(11,13)"
19,2,rbf,100,,0.5214285714285715,"Bert(11,13)"
20,5,rbf,scale,,0.5071428571428571,"Bert(11,13)"
21,5,rbf,auto,,0.4928571428571429,"Bert(11,13)"
22,5,rbf,0.001,,0.4928571428571429,"Bert(11,13)"
23,5,rbf,0.005,,0.5071428571428571,"Bert(11,13)"
24,5,rbf,0.01,,0.4714285714285714,"Bert(11,13)"
25,5,rbf,0.05,,0.5142857142857142,"Bert(11,13)"
26,5,rbf,0.1,,0.5285714285714286,"Bert(11,13)"
27,5,rbf,1,,0.5214285714285715,"Bert(11,13)"
28,5,rbf,10,,0.5214285714285715,"Bert(11,13)"
29,5,rbf,100,,0.5214285714285715,"Bert(11,13)"
30,7,rbf,scale,,0.5071428571428571,"Bert(11,13)"
31,7,rbf,auto,,0.4785714285714286,"Bert(11,13)"
32,7,rbf,0.001,,0.4857142857142857,"Bert(11,13)"
33,7,rbf,0.005,,0.5142857142857142,"Bert(11,13)"
34,7,rbf,0.01,,0.4857142857142857,"Bert(11,13)"
35,7,rbf,0.05,,0.5142857142857142,"Bert(11,13)"
36,7,rbf,0.1,,0.5285714285714286,"Bert(11,13)"
37,7,rbf,1,,0.5214285714285715,"Bert(11,13)"
38,7,rbf,10,,0.5214285714285715,"Bert(11,13)"
39,7,rbf,100,,0.5214285714285715,"Bert(11,13)"
40,10,rbf,scale,,0.4928571428571429,"Bert(11,13)"
41,10,rbf,auto,,0.4714285714285714,"Bert(11,13)"
42,10,rbf,0.001,,0.4785714285714286,"Bert(11,13)"
43,10,rbf,0.005,,0.45714285714285713,"Bert(11,13)"
44,10,rbf,0.01,,0.4928571428571429,"Bert(11,13)"
45,10,rbf,0.05,,0.5142857142857142,"Bert(11,13)"
46,10,rbf,0.1,,0.5285714285714286,"Bert(11,13)"
47,10,rbf,1,,0.5214285714285715,"Bert(11,13)"
48,10,rbf,10,,0.5214285714285715,"Bert(11,13)"
49,10,rbf,100,,0.5214285714285715,"Bert(11,13)"
50,1,poly,,1.0,0.5142857142857142,"Bert(11,13)"
51,1,poly,,2.0,0.5071428571428571,"Bert(11,13)"
52,1,poly,,3.0,0.5214285714285715,"Bert(11,13)"
53,1,poly,,5.0,0.5428571428571428,"Bert(11,13)"
54,2,poly,,1.0,0.5,"Bert(11,13)"
55,2,poly,,2.0,0.4857142857142857,"Bert(11,13)"
56,2,poly,,3.0,0.4928571428571429,"Bert(11,13)"
57,2,poly,,5.0,0.5071428571428571,"Bert(11,13)"
58,5,poly,,1.0,0.4785714285714286,"Bert(11,13)"
59,5,poly,,2.0,0.5214285714285715,"Bert(11,13)"
60,5,poly,,3.0,0.4857142857142857,"Bert(11,13)"
61,5,poly,,5.0,0.4785714285714286,"Bert(11,13)"
62,7,poly,,1.0,0.4928571428571429,"Bert(11,13)"
63,7,poly,,2.0,0.5214285714285715,"Bert(11,13)"
64,7,poly,,3.0,0.42857142857142855,"Bert(11,13)"
65,7,poly,,5.0,0.45,"Bert(11,13)"
66,10,poly,,1.0,0.5071428571428571,"Bert(11,13)"
